l	E_lower_critical	E_upper_critical
1.0	-1.3376	nothing
2.0	-1.3396	nothing
3.0	-1.3392	nothing
4.0	-1.3444	nothing
5.0	-1.3364	nothing
6.0	-1.338	nothing
7.0	-1.338	nothing
8.0	-1.3312	nothing
9.0	-1.3376	nothing
10.0	-1.35	nothing
11.0	-1.3392	nothing
12.0	-1.3368	-1.3156
13.0	-1.3336	-1.304
14.0	-1.336	-1.2496
15.0	-1.3252	-1.2376
16.0	-1.3276	-1.1452
17.0	-1.3328	-0.952
18.0	-1.3236	-1.0596
19.0	-1.314	-1.0792
20.0	-1.3252	-0.966
21.0	-1.2912	-0.9264
22.0	-1.3072	-0.9364
23.0	-1.0972	-0.916
24.0	-1.104	-0.8352
25.0	-1.1096	-0.8188
26.0	-1.0716	-0.6384
27.0	-1.3064	-0.7796
28.0	-1.0004	-0.7356
29.0	-1.0136	-0.7168
30.0	-1.0476	-0.7316
31.0	-1.0068	-0.702
32.0	-0.982	-0.6964
33.0	-1.0188	-0.6952
34.0	-0.9672	-0.662
35.0	-0.97	-0.588
36.0	-0.952	-0.6128
37.0	-0.9712	-0.6012
38.0	-0.942	-0.6176
39.0	-0.9452	-0.6084
40.0	-0.9572	-0.6044
41.0	-0.8296	-0.5508
42.0	-0.9572	-0.5944
43.0	-0.8356	-0.558
44.0	-0.8052	-0.5512
45.0	-1.0028	-0.5648
46.0	-0.8144	-0.5416
47.0	-0.8364	-0.504
48.0	-0.824	-0.516
49.0	-0.774	-0.5316
50.0	-0.9412	-0.4912
51.0	-0.7348	-0.5172
52.0	-0.8132	-0.5284
53.0	-0.77	-0.4888
54.0	-0.8156	-0.4692
55.0	-0.762	-0.4516
56.0	-0.75	-0.4292
57.0	-0.7276	-0.4272
58.0	-0.6988	-0.4588
59.0	-0.766	-0.4108
60.0	-0.7644	-0.4264
61.0	-0.7416	-0.4356
62.0	-0.76	-0.4524
63.0	-0.6756	-0.4112
64.0	-0.7016	-0.4272
65.0	-0.7176	-0.3736
66.0	-0.7716	-0.4112
67.0	-0.6348	-0.3936
68.0	-0.6048	-0.3712
69.0	-0.7348	-0.4008
70.0	-0.6584	-0.3828
71.0	-0.6716	-0.36
72.0	-0.62	-0.406
73.0	-0.6044	-0.3928
74.0	-0.6348	-0.402
75.0	-0.716	-0.362
76.0	-0.6168	-0.3552
77.0	-0.6276	-0.3496
78.0	-0.6256	-0.2984
79.0	-0.6736	-0.3492
80.0	-0.5536	-0.3596
81.0	-0.5796	-0.3372
82.0	-0.5628	-0.312
83.0	-0.5128	-0.3608
84.0	-0.648	-0.294
85.0	-0.6376	-0.3516
86.0	-0.558	-0.35
87.0	-0.5592	-0.3044
88.0	-0.6168	-0.2548
89.0	-0.5588	-0.3364
90.0	-0.59	-0.3004
91.0	-0.5	-0.2752
92.0	-0.5008	-0.314
93.0	-0.5036	-0.2856
94.0	-0.5868	-0.2832
95.0	-0.5028	-0.2884
96.0	-0.462	-0.2684
97.0	-0.5048	-0.2628
98.0	-0.5228	-0.2708
99.0	-0.4872	-0.2784
