beta,tau_unc,alpha_unc
0.25,1.0,1.0
0.25757124579110297,1.0,1.0
0.2653717866335231,1.0,1.0
0.2734085667240293,1.0,0.9663092704748142
0.28168874056427257,1.0,0.9308024154146892
0.2902196793298659,1.0,0.6363276748074655
0.29900897743235194,1.0,0.6277006546643584
0.3080644592798988,1.0,0.5624551120823807
0.3173941862427442,1.0,0.5812727753178694
0.3270064638295879,1.0,0.5738228328548782
0.3369098490813209,1.0,0.5601835744688289
0.3471131581886732,1.1126373593089334,0.5452774515137127
0.357625474340563,1.3074709654296757,0.5239892910387651
0.36845615581013186,1.5658572286009527,0.48134962342701926
0.3796148442856656,2.031100386684097,0.47807626749834736
0.39111147345381786,2.6794260079852577,0.4240888298917174
0.40295627784277505,4.1495756620158355,0.4072136651259338
0.4151598019332376,7.259840285846666,0.39370224082332395
0.42773290954532633,15.099858798493687,0.3275934737854521
0.44068679350977147,67.69338325302611,0.12840027480351018
